session_id,step,source,target,event_type,bytes_out,is_external,encoded_command,label
SESSION-00001,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00001,2,python.exe,local_database,network,56091,0,0,benign
SESSION-00002,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00002,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00002,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00002,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00002,5,curl.exe,external_host,network,683316,1,0,attack
SESSION-00003,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00003,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00003,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00003,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00003,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00003,6,curl.exe,external_host,network,704134,1,0,attack
SESSION-00004,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00004,2,python.exe,local_database,network,53833,0,0,benign
SESSION-00005,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00005,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00005,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00005,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00005,5,curl.exe,external_host,network,808069,1,0,attack
SESSION-00006,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00006,2,browser.exe,trusted_api,network,46132,1,0,benign
SESSION-00007,1,outlook.exe,pdf_reader.exe,process,0,0,0,benign
SESSION-00007,2,pdf_reader.exe,document.pdf,file,0,0,0,benign
SESSION-00007,3,document.pdf,cache.tmp,file,0,0,0,benign
SESSION-00008,1,outlook.exe,powershell.exe,process,0,0,1,benign
SESSION-00008,2,powershell.exe,payload.tmp,file,0,0,1,benign
SESSION-00008,3,powershell.exe,rundll32.exe,process,0,0,0,benign
SESSION-00008,4,rundll32.exe,curl.exe,process,0,0,0,benign
SESSION-00008,5,curl.exe,external_host,network,528186,1,0,benign
SESSION-00009,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00009,2,browser.exe,trusted_api,network,27883,1,0,benign
