session_id,node_count,edge_count,graph_density,max_out_degree,longest_path,unique_event_types,external_edge_count,encoded_command_count,outbound_bytes,suspicious_process_count,suspicious_relationship_count,has_external_path,label
SESSION-00001,3,2,0.3333333333333333,2,1,2,0,0,56091,0,0,0,benign
SESSION-00002,6,5,0.16666666666666666,2,4,3,1,2,683316,3,3,1,attack
SESSION-00003,7,6,0.14285714285714285,2,4,3,1,2,704134,3,3,1,attack
SESSION-00004,3,2,0.3333333333333333,2,1,2,0,0,53833,0,0,0,benign
SESSION-00005,6,5,0.16666666666666666,2,4,3,1,2,808069,3,3,1,attack
SESSION-00006,3,2,0.3333333333333333,1,2,2,1,0,46132,0,0,0,benign
SESSION-00007,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00008,6,5,0.16666666666666666,2,4,3,1,2,528186,3,3,1,benign
SESSION-00009,3,2,0.3333333333333333,1,2,2,1,0,27883,0,0,0,benign
SESSION-00010,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00011,3,2,0.3333333333333333,2,1,2,0,0,44198,0,0,0,benign
SESSION-00012,3,2,0.3333333333333333,1,2,2,1,0,21679,0,0,0,benign
SESSION-00013,3,2,0.3333333333333333,2,1,2,0,0,20164,0,0,0,benign
SESSION-00014,6,5,0.16666666666666666,2,4,3,1,2,740017,3,3,1,attack
SESSION-00015,3,2,0.3333333333333333,1,2,2,1,0,19458,0,0,0,benign
SESSION-00016,3,2,0.3333333333333333,1,2,2,0,0,17465,0,0,0,benign
SESSION-00017,3,2,0.3333333333333333,1,2,2,1,0,6989,0,0,0,benign
SESSION-00018,4,3,0.25,1,3,3,0,0,52079,0,0,0,benign
SESSION-00019,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00020,4,3,0.25,2,2,2,0,0,5673,0,0,0,benign
SESSION-00021,6,5,0.16666666666666666,2,4,3,1,2,183550,3,3,1,attack
SESSION-00022,4,3,0.25,2,2,2,0,0,28331,0,0,0,benign
SESSION-00023,3,2,0.3333333333333333,2,1,2,0,0,50607,0,0,0,attack
SESSION-00024,7,6,0.14285714285714285,2,4,3,1,2,672334,3,3,1,attack
SESSION-00025,4,3,0.25,1,3,3,1,0,26004,0,0,0,benign
SESSION-00026,4,3,0.25,2,2,2,0,0,7521,0,0,0,benign
SESSION-00027,4,3,0.25,2,2,2,0,0,46081,0,0,0,benign
SESSION-00028,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00029,3,2,0.3333333333333333,1,2,2,0,0,30162,0,0,0,attack
SESSION-00030,6,5,0.16666666666666666,2,4,3,1,2,820133,3,3,1,attack
SESSION-00031,6,5,0.16666666666666666,2,4,3,1,2,96009,3,3,1,attack
SESSION-00032,3,2,0.3333333333333333,1,2,2,0,0,10834,0,0,0,benign
SESSION-00033,7,6,0.14285714285714285,2,4,3,1,2,558960,3,3,1,attack
SESSION-00034,4,3,0.25,1,3,3,0,0,11105,0,0,0,benign
SESSION-00035,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00036,3,2,0.3333333333333333,2,1,2,0,0,20569,0,0,0,benign
SESSION-00037,3,2,0.3333333333333333,1,2,2,1,0,6092,0,0,0,benign
SESSION-00038,3,2,0.3333333333333333,1,2,2,1,0,12144,0,0,0,benign
SESSION-00039,6,5,0.16666666666666666,2,4,3,1,2,548817,3,3,1,attack
SESSION-00040,6,5,0.16666666666666666,2,4,3,1,2,378216,3,3,1,benign
SESSION-00041,7,6,0.14285714285714285,2,4,3,1,2,757559,3,3,1,attack
